Model,2008_Financial_Crisis,2010_Euro_Debt_Crisis,2015_China_Crash,2018_Trade_War,2020_COVID_Crash,2022_Rate_Hike,2023_AI_Wave
Bi-GRU,-0.0297,-0.1197,-0.029,-0.0991,-0.205,-0.1181,-0.0196
Bi-LSTM,-0.0354,-0.014,-0.0461,-0.3448,-0.2037,-0.1378,-0.2356
Bi-RNN,-0.1346,-0.0007,-0.0277,-0.0468,-0.1233,-0.0665,-0.0604
Mamba,-0.0462,-0.0106,-0.054,-0.0366,-0.2729,-0.0282,-0.0157
PatchTST,-0.746,-1.1114,-1.1921,-0.651,-0.8744,-1.3993,-0.5027
SNN,-0.3549,-0.4592,-0.4514,-0.6408,-0.9022,-0.3632,-1.5136
