Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples,Seed
SP500,60,10,Ensemble,2008_Financial_Crisis,0.0144071178510785,0.8238378167152405,0.0195746007770982,369,2620
SP500,90,1,ARIMA,2008_Financial_Crisis,0.0033486850262195,0.9905995266493496,0.0045748106549063,378,2620
SP500,90,1,Bi-RNN,2008_Financial_Crisis,0.0055725648999214,0.9784547686576844,0.006925865751692,378,2620
SP500,90,1,Bi-GRU,2008_Financial_Crisis,0.0038538307417184,0.9872963428497314,0.0053181760911489,378,2620
SP500,90,1,Bi-LSTM,2008_Financial_Crisis,0.0051791504956781,0.9800093173980712,0.0066713206916583,378,2620
SP500,90,1,PatchTST,2008_Financial_Crisis,0.0431042239069938,-0.2848700284957886,0.0534844891787655,378,2620
SP500,90,1,Mamba,2008_Financial_Crisis,0.0045528430491685,0.9825781583786012,0.006227952434911,378,2620
SP500,90,1,SNN,2008_Financial_Crisis,0.0445806607604026,-0.83503258228302,0.0639175538707767,378,2620
SP500,90,1,Ensemble,2008_Financial_Crisis,0.0158751495182514,0.8088669180870056,0.0206284303831041,378,2620
SP500,90,5,ARIMA,2008_Financial_Crisis,0.0063740046815787,0.9679937887491769,0.0084414178103801,378,2620
SP500,90,5,Bi-RNN,2008_Financial_Crisis,0.0082029812037944,0.9449570775032043,0.0110207059548328,374,2620
SP500,90,5,Bi-GRU,2008_Financial_Crisis,0.0070295804180204,0.9591088891029358,0.0094988914811528,374,2620
SP500,90,5,Bi-LSTM,2008_Financial_Crisis,0.0084708910435438,0.9460095763206482,0.0109148291741242,374,2620
SP500,90,5,PatchTST,2008_Financial_Crisis,0.0421245470643043,-0.3405481576919555,0.0543875857632543,374,2620
SP500,90,5,Mamba,2008_Financial_Crisis,0.0072345435619354,0.957850992679596,0.0096438915610324,374,2620
SP500,90,5,SNN,2008_Financial_Crisis,0.0191198792308568,0.7221174240112305,0.0247622022365693,374,2620
SP500,90,5,Ensemble,2008_Financial_Crisis,0.0139650395140051,0.8566175699234009,0.017787156567679,374,2620
SP500,90,10,ARIMA,2008_Financial_Crisis,0.0084734277437119,0.939608264906978,0.0115954342143561,378,2620
SP500,90,10,Bi-RNN,2008_Financial_Crisis,0.0128838829696178,0.8785691857337952,0.0162517815826003,369,2620
SP500,90,10,Bi-GRU,2008_Financial_Crisis,0.0105743007734417,0.9006555676460266,0.0146996942443107,369,2620
SP500,90,10,Bi-LSTM,2008_Financial_Crisis,0.0104521429166197,0.9087511301040648,0.0140880318170112,369,2620
SP500,90,10,PatchTST,2008_Financial_Crisis,0.0254186876118183,0.4327969551086426,0.0351241498337086,369,2620
SP500,90,10,Mamba,2008_Financial_Crisis,0.0096556162461638,0.9195953607559204,0.0132244363800447,369,2620
SP500,90,10,SNN,2008_Financial_Crisis,0.0324590802192688,0.2021343111991882,0.041658289664561,369,2620
SP500,90,10,Ensemble,2008_Financial_Crisis,0.0145500926300883,0.8248497247695923,0.0195182988321383,369,2620
SP500,120,1,ARIMA,2008_Financial_Crisis,0.0033794989210066,0.9903520141871156,0.0046346462446833,378,2620
SP500,120,1,Bi-RNN,2008_Financial_Crisis,0.0053909192793071,0.9783007502555848,0.006950573389813,378,2620
SP500,120,1,Bi-GRU,2008_Financial_Crisis,0.0044854180887341,0.9839702844619752,0.0059739404546002,378,2620
SP500,120,1,Bi-LSTM,2008_Financial_Crisis,0.0073841158300638,0.9643999338150024,0.0089027384843725,378,2620
SP500,120,1,PatchTST,2008_Financial_Crisis,0.0315173044800758,0.4037926197052002,0.0364331684726783,378,2620
SP500,120,1,Mamba,2008_Financial_Crisis,0.0051973974332213,0.9763293862342834,0.0072594395572432,378,2620
SP500,120,1,SNN,2008_Financial_Crisis,0.0135111454874277,0.8631471395492554,0.0174552143668271,378,2620
SP500,120,1,Ensemble,2008_Financial_Crisis,0.0100158946588635,0.9341744780540466,0.0121058526703732,378,2620
SP500,120,5,ARIMA,2008_Financial_Crisis,0.006411052783189,0.9676356153376464,0.008488519287206,378,2620
SP500,120,5,Bi-RNN,2008_Financial_Crisis,0.0108933039009571,0.910639226436615,0.0140421001251235,374,2620
SP500,120,5,Bi-GRU,2008_Financial_Crisis,0.007667067926377,0.9505535364151,0.0104454237377908,374,2620
SP500,120,5,Bi-LSTM,2008_Financial_Crisis,0.0079233376309275,0.9547330141067504,0.0099942331058203,374,2620
SP500,120,5,PatchTST,2008_Financial_Crisis,0.060954175889492,-1.289806604385376,0.0710817287573006,374,2620
SP500,120,5,Mamba,2008_Financial_Crisis,0.0092059345915913,0.936223804950714,0.0118628185711192,374,2620
SP500,120,5,SNN,2008_Financial_Crisis,0.0185494646430015,0.7160026431083679,0.0250331619138394,374,2620
SP500,120,5,Ensemble,2008_Financial_Crisis,0.0173810273408889,0.7959635257720947,0.0212183907151265,374,2620
SP500,120,10,ARIMA,2008_Financial_Crisis,0.0085148925794707,0.9395458673458827,0.01160142294792,378,2620
SP500,120,10,Bi-RNN,2008_Financial_Crisis,0.0111575368791818,0.8978991508483887,0.0149022280196724,369,2620
SP500,120,10,Bi-GRU,2008_Financial_Crisis,0.0104207955300807,0.9028016328811646,0.0145400517783441,369,2620
SP500,120,10,Bi-LSTM,2008_Financial_Crisis,0.0107324300333857,0.8987998962402344,0.0148363463743506,369,2620
SP500,120,10,PatchTST,2008_Financial_Crisis,0.02205740660429,0.5968180894851685,0.0296133196903085,369,2620
SP500,120,10,Mamba,2008_Financial_Crisis,0.0105274580419063,0.904001533985138,0.0144500274214375,369,2620
SP500,120,10,SNN,2008_Financial_Crisis,0.0214620754122734,0.6158772706985474,0.0289049043938247,369,2620
SP500,120,10,Ensemble,2008_Financial_Crisis,0.0133717153221368,0.8506632447242737,0.0180227026526572,369,2620
SP500,252,1,ARIMA,2008_Financial_Crisis,0.0033335213648608,0.9907444865202352,0.0045394007123097,378,2620
SP500,252,1,Bi-RNN,2008_Financial_Crisis,0.0449164547026157,-0.6575064659118652,0.0607471460974037,378,2620
SP500,252,1,Bi-GRU,2008_Financial_Crisis,0.0041283522732555,0.9865373969078064,0.0054747277065162,378,2620
SP500,252,1,Bi-LSTM,2008_Financial_Crisis,0.0053953090682625,0.9784651398658752,0.0069241964916617,378,2620
SP500,252,1,PatchTST,2008_Financial_Crisis,0.0269603114575147,0.458897054195404,0.0347086892271337,378,2620
SP500,252,1,Mamba,2008_Financial_Crisis,0.0064788972958922,0.9644097685813904,0.0089015129008636,378,2620
SP500,252,1,SNN,2008_Financial_Crisis,0.0153933884575963,0.8064486384391785,0.0207585198166501,378,2620
SP500,252,1,Ensemble,2008_Financial_Crisis,0.0154084162786602,0.8127137422561646,0.0204197854902236,378,2620
SP500,252,5,ARIMA,2008_Financial_Crisis,0.0063224506487423,0.9683756481496208,0.0083909103161389,378,2620
SP500,252,5,Bi-RNN,2008_Financial_Crisis,0.0102150896564126,0.9241358637809752,0.0129382907822206,374,2620
SP500,252,5,Bi-GRU,2008_Financial_Crisis,0.0076252701692283,0.955135703086853,0.0099496789784337,374,2620
SP500,252,5,Bi-LSTM,2008_Financial_Crisis,0.0075540244579315,0.9526753425598145,0.0102188587828419,374,2620
SP500,252,5,PatchTST,2008_Financial_Crisis,0.0462774038314819,-0.8694140911102295,0.0642260648397011,374,2620
SP500,252,5,Mamba,2008_Financial_Crisis,0.0090409042313694,0.9362557530403136,0.0118598453328101,374,2620
SP500,252,5,SNN,2008_Financial_Crisis,0.0183010976761579,0.7118812203407288,0.0252141516599368,374,2620
SP500,252,5,Ensemble,2008_Financial_Crisis,0.0149399098008871,0.8309965133666992,0.0193110729085402,374,2620
