Model,2008_Financial_Crisis,2010_Euro_Debt_Crisis,2015_China_Crash,2018_Trade_War,2020_COVID_Crash,2022_Rate_Hike,2023_AI_Wave
ARIMA,0.960207620489249,0.8788313077170834,0.7383106690121218,0.713857013698602,0.5410866000738047,0.809767425469113,0.84905726875944
Bi-GRU,0.930508945385615,0.759145035346349,0.7092801451683044,0.6147384444872538,0.3361367603143056,0.6916980981826782,0.8294222255547842
Bi-LSTM,0.9247882505257924,0.8647979537645976,0.6921709477901459,0.36904619534810384,0.33736379543940226,0.6719617168108623,0.6134621620178222
Bi-RNN,0.8255724827448527,0.8781039158503214,0.710644946495692,0.6670931120713551,0.41782339215278624,0.7432511349519094,0.7886286636193593
Ensemble,0.8665238897005717,0.8054479877154033,0.674600621064504,0.6480261743068695,0.36182198325792947,0.7180369993050894,0.6773303310076396
Mamba,0.913961547613144,0.8682526449362437,0.6843575795491537,0.6772326906522115,0.2681510090827942,0.7816061655680339,0.833382264773051
PatchTST,0.21418512463569642,-0.2325927456219991,-0.45383136669794716,0.0628872811794281,-0.3333677033583323,-0.58948668440183,0.3463268180688222
SNN,0.6053624192873637,0.41964185833930967,0.2869118293126424,0.0730472207069397,-0.3610854546229045,0.4466005047162374,-0.6645351270834605
