Model,2008_Financial_Crisis,2010_Euro_Debt_Crisis,2015_China_Crash,2018_Trade_War,2020_COVID_Crash,2022_Rate_Hike,2023_AI_Wave
ARIMA,0.02093925776799637,0.011926277920943505,0.015009964434590569,0.016769254634924704,0.025973407368824006,0.022942049156541,0.015147624091927218
Bi-GRU,0.028595153894275426,0.013317537253412108,0.01517027064692229,0.017109081350887814,0.02765187853947282,0.026799505576491356,0.015890438264856737
Bi-LSTM,0.029873269579062858,0.012925520616893968,0.015623638763402899,0.020524092794706423,0.027700394081572693,0.027999180958916743,0.021296737963954607
Bi-RNN,0.029235120893766484,0.012092496966943145,0.01579303915301959,0.018588624180605015,0.026679754350334407,0.025163670846571524,0.017464884898314874
Ensemble,0.03556442257637779,0.014407317720664043,0.016936660247544446,0.018073382523531713,0.026940559564779202,0.026980095480879148,0.02100911724070708
Mamba,0.031112564324090878,0.012581564586920042,0.015642217407003046,0.017565821995958686,0.030540582009901604,0.023961051553487777,0.015516091401999195
PatchTST,0.08341591681043307,0.029016602815439305,0.031195304201294977,0.026950754597783087,0.0443439681082964,0.058200013389190036,0.029775984461108844
SNN,0.06323322464401523,0.025815992251348993,0.029255775983134905,0.041571133925269045,0.04639314450323582,0.04033714191367229,0.047441716740528744
