Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples
SP500,30,10,PatchTST,2008_Financial_Crisis,0.04302115738391876,-0.41092920303344727,0.05539737150201954,369
SP500,30,10,Mamba,2008_Financial_Crisis,0.011063515208661556,0.8858832716941833,0.015754740347821372,369
SP500,30,10,SNN,2008_Financial_Crisis,0.014145763590931892,0.8345336318016052,0.01897105291509104,369
SP500,30,10,Ensemble,2008_Financial_Crisis,0.01612946018576622,0.7981986403465271,0.020950702877623916,369
SP500,60,1,ARIMA,2008_Financial_Crisis,0.0034337693594747778,0.9901232882135588,0.0046892615092640495,378
SP500,60,1,Bi-RNN,2008_Financial_Crisis,0.004562572110444307,0.9829595685005188,0.00615940581565959,378
SP500,60,1,Bi-GRU,2008_Financial_Crisis,0.004108346998691559,0.9859196543693542,0.005598929889658918,378
SP500,60,1,Bi-LSTM,2008_Financial_Crisis,0.005645537283271551,0.9751031398773193,0.007445096141205438,378
SP500,60,1,PatchTST,2008_Financial_Crisis,0.03297649696469307,0.08461469411849976,0.04514401905442281,378
SP500,60,1,Mamba,2008_Financial_Crisis,0.004062396474182606,0.9865028262138367,0.005481753651164415,378
SP500,60,1,SNN,2008_Financial_Crisis,0.013310307636857033,0.8542928695678711,0.01801103325086205,378
SP500,60,1,Ensemble,2008_Financial_Crisis,0.008884051814675331,0.9346560835838318,0.012061487023200777,378
SP500,60,5,ARIMA,2008_Financial_Crisis,0.006423452916806226,0.9673136183375521,0.008530641406327156,378
SP500,60,5,Bi-RNN,2008_Financial_Crisis,0.007985342293977737,0.9502232074737549,0.010480261655092374,374
SP500,60,5,Bi-GRU,2008_Financial_Crisis,0.009236476384103298,0.9336722493171692,0.012097792604489076,374
SP500,60,5,Bi-LSTM,2008_Financial_Crisis,0.00833384320139885,0.945554792881012,0.010960702016682365,374
SP500,60,5,PatchTST,2008_Financial_Crisis,0.06106562167406082,-1.52842378616333,0.0746936193906092,374
SP500,60,5,Mamba,2008_Financial_Crisis,0.007999196648597717,0.9427030682563782,0.011244085986592878,374
SP500,60,5,SNN,2008_Financial_Crisis,0.017952147871255875,0.7439541220664978,0.023769358765188653,374
SP500,60,5,Ensemble,2008_Financial_Crisis,0.017229627817869186,0.7940614819526672,0.021317062835436135,374
SP500,60,10,ARIMA,2008_Financial_Crisis,0.008543089734049028,0.9391298763004656,0.01164126980445327,378
SP500,60,10,Bi-RNN,2008_Financial_Crisis,0.010769248940050602,0.9144837856292725,0.013638318446578675,369
SP500,60,10,Bi-GRU,2008_Financial_Crisis,0.012155318632721901,0.8733182549476624,0.01659944640024732,369
SP500,60,10,Bi-LSTM,2008_Financial_Crisis,0.012751531787216663,0.8544083833694458,0.0177952761284581,369
SP500,60,10,PatchTST,2008_Financial_Crisis,0.021572230383753777,0.6340334415435791,0.028213517481467422,369
SP500,60,10,Mamba,2008_Financial_Crisis,0.011995291337370872,0.8784639835357666,0.01625882241231172,369
SP500,60,10,SNN,2008_Financial_Crisis,0.032603975385427475,0.10631901025772095,0.04408875208804649,369
SP500,60,10,Ensemble,2008_Financial_Crisis,0.01440711785107851,0.8238378167152405,0.01957460077709822,369
SP500,90,1,ARIMA,2008_Financial_Crisis,0.0033486850262195405,0.9905995266493497,0.004574810654906305,378
SP500,90,1,Bi-RNN,2008_Financial_Crisis,0.005572564899921417,0.9784547686576843,0.00692586575169201,378
SP500,90,1,Bi-GRU,2008_Financial_Crisis,0.0038538307417184114,0.9872963428497314,0.005318176091148958,378
SP500,90,1,Bi-LSTM,2008_Financial_Crisis,0.005179150495678186,0.9800093173980713,0.006671320691658303,378
SP500,90,1,PatchTST,2008_Financial_Crisis,0.043104223906993866,-0.2848700284957886,0.053484489178765506,378
SP500,90,1,Mamba,2008_Financial_Crisis,0.004552843049168587,0.9825781583786011,0.006227952434911012,378
SP500,90,1,SNN,2008_Financial_Crisis,0.04458066076040268,-0.83503258228302,0.06391755387077676,378
SP500,90,1,Ensemble,2008_Financial_Crisis,0.01587514951825142,0.8088669180870056,0.020628430383104104,378
SP500,90,5,ARIMA,2008_Financial_Crisis,0.006374004681578766,0.9679937887491767,0.008441417810380174,378
SP500,90,5,Bi-RNN,2008_Financial_Crisis,0.00820298120379448,0.9449570775032043,0.011020705954832876,374
SP500,90,5,Bi-GRU,2008_Financial_Crisis,0.007029580418020487,0.9591088891029358,0.009498891481152832,374
SP500,90,5,Bi-LSTM,2008_Financial_Crisis,0.008470891043543816,0.9460095763206482,0.01091482917412427,374
