Window,Horizon,Matched_Period,Strategy,Models,Ensemble_MAE,Ensemble_R2,Ensemble_RMSE
30,1,2022_Rate_Hike,heuristic,Bi-RNN+Bi-GRU+Mamba+Bi-LSTM,0.010999772697687149,0.9899877309799194,0.014843962516486843
30,5,2022_Rate_Hike,heuristic,Bi-RNN+Bi-GRU+Mamba+Bi-LSTM,0.02592424862086773,0.950169026851654,0.03277512590335404
30,10,2022_Rate_Hike,heuristic,Bi-GRU+Bi-RNN+Mamba,0.03347504884004593,0.9131506085395813,0.04287614379891903
